# px1=347,531  px2=337,545  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,23340.0,23367.841796875,23350.0,23357.515625
1,23356.0,23367.912109375,23350.0,23357.5859375
2,23356.0,23367.98828125,23350.0,23357.662109375
3,23348.0,23368.0546875,23326.0,23357.7265625
4,23356.0,23368.125,23350.0,23357.796875
5,23356.0,23368.1953125,23360.0,23357.859375
6,23364.0,23368.26953125,23350.0,23357.927734375
7,23340.0,23368.341796875,23350.0,23357.9921875
8,23382.0,23368.4140625,23350.0,23358.0546875
9,23348.0,23368.484375,23350.0,23358.123046875
10,23364.0,23368.560546875,23350.0,23358.197265625
11,23348.0,23368.640625,23350.0,23358.279296875
12,23356.0,23368.7265625,23342.0,23358.3671875
13,23356.0,23368.8203125,23350.0,23358.46875
14,23356.0,23368.91015625,23384.0,23358.56640625
15,23356.0,23369.015625,23368.0,23358.6796875
16,23364.0,23369.111328125,23342.0,23358.78125
17,23372.0,23369.197265625,23360.0,23358.86328125
18,23364.0,23369.29296875,23360.0,23358.95703125
19,23372.0,23369.3984375,23342.0,23359.0546875
20,23382.0,23369.509765625,23360.0,23359.158203125
21,23348.0,23369.623046875,23342.0,23359.26953125
22,23356.0,23369.744140625,23368.0,23359.390625
23,23348.0,23369.88671875,23376.0,23359.54296875
24,23348.0,23370.03125,23360.0,23359.69921875
25,23364.0,23370.17578125,23334.0,23359.849609375
26,23356.0,23370.32421875,23350.0,23360.0
27,23356.0,23370.486328125,23376.0,23360.177734375
28,23356.0,23370.6484375,23350.0,23360.3515625
29,23348.0,23370.826171875,23368.0,23360.556640625
30,23382.0,23370.99609375,23368.0,23360.740234375
31,23372.0,23371.169921875,23368.0,23360.955078125
32,23372.0,23371.33203125,23360.0,23361.14453125
33,23356.0,23371.46484375,23350.0,23361.291015625
34,23340.0,23371.611328125,23350.0,23361.451171875
35,23356.0,23371.73046875,23360.0,23361.595703125
36,23340.0,23371.8671875,23342.0,23361.759765625
37,23348.0,23372.00390625,23360.0,23361.943359375
38,23356.0,23372.150390625,23350.0,23362.1328125
39,23364.0,23372.29296875,23368.0,23362.345703125
40,23356.0,23372.43359375,23360.0,23362.544921875
41,23382.0,23372.5703125,23350.0,23362.7265625
42,23348.0,23372.72265625,23350.0,23362.939453125
43,23340.0,23372.8828125,23350.0,23363.166015625
44,23364.0,23373.044921875,23350.0,23363.3984375
45,23348.0,23373.21484375,23360.0,23363.64453125
46,23364.0,23373.39453125,23342.0,23363.91796875
47,23372.0,23373.591796875,23368.0,23364.22265625
48,23356.0,23373.7890625,23350.0,23364.5390625
49,23364.0,23373.98046875,23350.0,23364.83203125
50,23382.0,23374.173828125,23350.0,23365.13671875
51,23372.0,23374.38671875,23350.0,23365.4609375
52,23372.0,23374.591796875,23368.0,23365.7734375
53,23372.0,23374.802734375,23368.0,23366.087890625
54,23364.0,23375.01171875,23368.0,23366.400390625
55,23364.0,23375.248046875,23350.0,23366.734375
56,23348.0,23375.49609375,23360.0,23367.08984375
57,23364.0,23375.74609375,23342.0,23367.4609375
58,23372.0,23375.97265625,23368.0,23367.7890625
59,23348.0,23376.21484375,23350.0,23368.13671875
60,23364.0,23376.44921875,23368.0,23368.474609375
61,23372.0,23376.712890625,23368.0,23368.82421875
62,23390.0,23376.935546875,23376.0,23369.11328125
63,23364.0,23377.16796875,23368.0,23369.388671875
64,23364.0,23377.37109375,23360.0,23369.62890625
65,23372.0,23377.544921875,23360.0,23369.85546875
66,23372.0,23377.72265625,23350.0,23370.078125
67,23356.0,23377.87109375,23384.0,23370.2421875
68,23364.0,23378.0390625,23350.0,23370.4375
69,23364.0,23378.185546875,23342.0,23370.619140625
70,23364.0,23378.36328125,23350.0,23370.826171875
71,23356.0,23378.5234375,23350.0,23370.984375
72,23382.0,23378.70703125,23350.0,23371.1484375
73,23382.0,23378.9296875,23360.0,23371.3046875
74,23356.0,23379.16015625,23368.0,23371.515625
75,23364.0,23379.419921875,23350.0,23371.69921875
76,23406.0,23379.6796875,23392.0,23371.896484375
77,23356.0,23379.92578125,23368.0,23372.12109375
78,23372.0,23380.15625,23384.0,23372.375
79,23364.0,23380.3984375,23360.0,23372.685546875
80,23364.0,23380.58203125,23368.0,23372.982421875
81,23372.0,23380.75390625,23368.0,23373.14453125
82,23372.0,23380.97265625,23376.0,23373.36328125
83,23382.0,23381.15625,23360.0,23373.5703125
84,23372.0,23381.330078125,23392.0,23373.83203125
85,23390.0,23381.609375,23368.0,23374.416015625
86,23372.0,23381.9921875,23368.0,23374.892578125
87,23390.0,23382.33203125,23368.0,23375.357421875
88,23372.0,23382.869140625,23360.0,23375.474609375
89,23356.0,23383.19140625,23392.0,23375.69140625
90,23364.0,23383.45703125,23392.0,23376.19921875
91,23372.0,23383.6640625,23392.0,23376.888671875
92,23348.0,23383.73046875,23384.0,23378.078125
93,23356.0,23383.810546875,23376.0,23377.11328125
94,23364.0,23383.7890625,23360.0,23376.662109375
95,23372.0,23383.921875,23360.0,23375.7109375
96,23382.0,23383.84765625,23384.0,23373.265625
97,23372.0,23383.9765625,23368.0,23375.07421875
98,23356.0,23384.25,23368.0,23378.4375
99,23364.0,23385.078125,23376.0,23385.61328125
100,23372.0,23385.4609375,23418.0,23395.65234375
101,23372.0,23385.18359375,23400.0,23397.1328125
102,23372.0,23386.33203125,23392.0,23389.55859375
103,23390.0,23386.251953125,23376.0,23380.8359375
104,23390.0,23386.373046875,23376.0,23377.673828125
105,23372.0,23390.5,23376.0,23377.81640625
106,23398.0,23397.07421875,23376.0,23376.25
107,23382.0,23399.66015625,23368.0,23376.55078125
108,23398.0,23394.7578125,23410.0,23378.6171875
109,23382.0,23391.6640625,23360.0,23379.486328125
110,23382.0,23390.603515625,23368.0,23380.703125
111,23364.0,23388.25,23360.0,23382.140625
112,23398.0,23389.57421875,23360.0,23382.2421875
113,23364.0,23391.26171875,23376.0,23382.23046875
114,23372.0,23392.064453125,23368.0,23382.748046875
115,23398.0,23393.15625,23360.0,23383.0078125
116,23372.0,23392.955078125,23376.0,23383.755859375
117,23390.0,23392.8046875,23360.0,23384.369140625
118,23372.0,23392.83203125,23368.0,23384.80078125
119,23382.0,23392.7734375,23368.0,23385.177734375
120,23372.0,23392.8125,23376.0,23385.26953125
121,23372.0,23392.771484375,23384.0,23385.583984375
122,23390.0,23392.71484375,23384.0,23385.8359375
123,23390.0,23392.56640625,23384.0,23386.1796875
124,23364.0,23392.62109375,23376.0,23386.58203125
125,23398.0,23392.587890625,23376.0,23386.9609375
126,23390.0,23392.55859375,23350.0,23387.30078125
127,23398.0,23392.57421875,23418.0,23387.6328125
128,23406.0,23392.4296875,23384.0,23388.00390625
129,23390.0,23392.42578125,23392.0,23388.3359375
130,23372.0,23392.51171875,23384.0,23388.6640625
131,23406.0,23392.7421875,23392.0,23388.94921875
132,23406.0,23393.09375,23392.0,23389.19140625
133,23372.0,23393.48828125,23400.0,23389.3828125
134,23382.0,23393.84375,23392.0,23389.634765625
135,23364.0,23394.328125,23392.0,23389.8515625
136,23390.0,23394.572265625,23410.0,23390.150390625
137,23398.0,23394.662109375,23392.0,23390.5
138,23364.0,23394.9921875,23368.0,23390.8203125
139,23372.0,23395.1875,23368.0,23391.15625
140,23372.0,23395.75390625,23384.0,23391.44921875
141,23398.0,23396.421875,23384.0,23391.888671875
142,23390.0,23396.94140625,23368.0,23392.26953125
143,23382.0,23397.767578125,23360.0,23392.537109375
144,23382.0,23397.8515625,23392.0,23392.83203125
145,23390.0,23397.35546875,23392.0,23393.10546875
146,23382.0,23397.68359375,23376.0,23393.265625
147,23390.0,23397.05859375,23376.0,23393.431640625
148,23382.0,23398.12890625,23392.0,23393.80859375
149,23390.0,23401.953125,23410.0,23393.1640625
150,23406.0,23403.830078125,23360.0,23392.337890625
151,23414.0,23408.458984375,23376.0,23391.66015625
152,23422.0,23413.7578125,23392.0,23389.1484375
153,23398.0,23408.9921875,23392.0,23388.3046875
154,23372.0,23400.041015625,23384.0,23389.36328125
155,23390.0,23398.8125,23384.0,23390.1796875
156,23390.0,23401.73046875,23400.0,23394.27734375
157,23390.0,23401.7109375,23376.0,23399.2890625
158,23390.0,23400.9609375,23434.0,23403.8046875
159,23398.0,23401.3828125,23426.0,23409.626953125
160,23390.0,23401.72265625,23442.0,23410.787109375
161,23398.0,23401.4765625,23392.0,23404.0703125
162,23382.0,23401.6171875,23392.0,23396.583984375
163,23422.0,23401.970703125,23410.0,23394.08984375
164,23390.0,23401.990234375,23410.0,23395.759765625
165,23382.0,23402.2265625,23392.0,23397.0390625
166,23406.0,23402.466796875,23410.0,23396.99609375
167,23406.0,23402.919921875,23392.0,23398.93359375
168,23406.0,23403.314453125,23418.0,23399.958984375
169,23356.0,23403.462890625,23384.0,23399.453125
170,23406.0,23403.658203125,23384.0,23399.478515625
171,23390.0,23403.77734375,23400.0,23399.22265625
172,23414.0,23403.98046875,23384.0,23398.904296875
173,23372.0,23404.2734375,23410.0,23399.01171875
174,23406.0,23404.552734375,23384.0,23399.298828125
175,23390.0,23404.876953125,23360.0,23399.67578125
176,23398.0,23405.16015625,23384.0,23400.36328125
177,23390.0,23405.40625,23392.0,23400.779296875
178,23390.0,23405.6875,23384.0,23401.251953125
179,23372.0,23405.962890625,23392.0,23401.650390625
180,23390.0,23406.2421875,23410.0,23401.91015625
181,23414.0,23406.53515625,23410.0,23402.26171875
182,23390.0,23406.85546875,23384.0,23402.53515625
183,23398.0,23407.17578125,23392.0,23402.859375
184,23372.0,23407.5390625,23384.0,23403.09765625
185,23398.0,23407.884765625,23392.0,23403.3515625
186,23398.0,23408.20703125,23400.0,23403.53515625
187,23398.0,23408.52734375,23410.0,23403.75
188,23382.0,23408.830078125,23400.0,23404.009765625
189,23398.0,23409.140625,23400.0,23404.30078125
190,23406.0,23409.392578125,23392.0,23404.54296875
191,23406.0,23409.64453125,23392.0,23404.80078125
192,23406.0,23409.853515625,23392.0,23405.06640625
193,23398.0,23410.076171875,23384.0,23405.291015625
194,23390.0,23410.27734375,23410.0,23405.505859375
195,23398.0,23410.47265625,23418.0,23405.6875
196,23406.0,23410.6953125,23392.0,23405.85546875
197,23398.0,23410.8984375,23384.0,23406.01171875
198,23398.0,23411.10546875,23410.0,23406.19140625
199,23364.0,23411.302734375,23410.0,23406.349609375
200,23406.0,23411.490234375,23384.0,23406.533203125
201,23406.0,23411.697265625,23418.0,23406.74609375
202,23406.0,23411.94140625,23418.0,23406.96875
203,23406.0,23412.181640625,23418.0,23407.203125
204,23406.0,23412.4140625,23410.0,23407.43359375
205,23390.0,23412.640625,23410.0,23407.65625
206,23422.0,23412.9375,23410.0,23407.888671875
207,23382.0,23413.19921875,23418.0,23408.111328125
208,23390.0,23413.525390625,23418.0,23408.31640625
209,23414.0,23413.83203125,23400.0,23408.5078125
210,23406.0,23414.140625,23384.0,23408.73046875
211,23406.0,23414.423828125,23410.0,23408.92578125
212,23406.0,23414.662109375,23410.0,23409.11328125
213,23406.0,23414.890625,23426.0,23409.3046875
214,23406.0,23415.10546875,23410.0,23409.5625
215,23406.0,23415.3046875,23410.0,23409.796875
216,23414.0,23415.5546875,23400.0,23410.1484375
217,23406.0,23415.841796875,23410.0,23410.45703125
218,23390.0,23416.009765625,23392.0,23410.69140625
219,23414.0,23416.21875,23418.0,23410.91796875
220,23406.0,23416.4140625,23410.0,23411.123046875
221,23406.0,23416.6015625,23410.0,23411.41796875
222,23390.0,23416.625,23410.0,23411.484375
223,23422.0,23416.69921875,23392.0,23411.6328125
224,23406.0,23416.6328125,23418.0,23411.51171875
225,23398.0,23416.5859375,23434.0,23411.361328125
226,23406.0,23416.548828125,23410.0,23411.28515625
227,23406.0,23416.49609375,23426.0,23411.2578125
228,23398.0,23416.548828125,23418.0,23411.296875
229,23398.0,23416.705078125,23418.0,23411.15625
230,23398.0,23416.8984375,23410.0,23411.375
231,23422.0,23417.0625,23418.0,23411.642578125
232,23398.0,23417.12890625,23392.0,23412.30078125
233,23398.0,23417.033203125,23418.0,23413.162109375
234,23398.0,23417.208984375,23426.0,23413.94140625
235,23406.0,23417.2734375,23392.0,23415.21484375
236,23406.0,23417.541015625,23410.0,23415.666015625
