# px1=188,200  px2=166,490  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,22374.0,22365.060546875,22216.0,22206.845703125
1,22390.0,22365.09765625,22208.0,22206.8984375
2,22374.0,22365.126953125,22224.0,22206.95703125
3,22358.0,22365.16015625,22232.0,22206.984375
4,22374.0,22365.185546875,22224.0,22207.01953125
5,22358.0,22365.21484375,22200.0,22207.01953125
6,22358.0,22365.234375,22216.0,22207.0390625
7,22390.0,22365.265625,22232.0,22207.0078125
8,22358.0,22365.3203125,22224.0,22206.982421875
9,22366.0,22365.384765625,22224.0,22206.9765625
10,22358.0,22365.4140625,22200.0,22206.9765625
11,22366.0,22365.462890625,22232.0,22206.958984375
12,22390.0,22365.4921875,22216.0,22206.95703125
13,22382.0,22365.53125,22200.0,22206.953125
14,22366.0,22365.5390625,22216.0,22206.927734375
15,22374.0,22365.552734375,22208.0,22206.91015625
16,22366.0,22365.55859375,22232.0,22206.84765625
17,22374.0,22365.546875,22224.0,22206.76953125
18,22390.0,22365.53125,22232.0,22206.71875
19,22374.0,22365.490234375,22216.0,22206.677734375
20,22382.0,22365.4765625,22216.0,22206.66015625
21,22390.0,22365.4765625,22232.0,22206.65625
22,22358.0,22365.4609375,22240.0,22206.681640625
23,22358.0,22365.44140625,22232.0,22206.765625
24,22382.0,22365.36328125,22232.0,22206.865234375
25,22374.0,22365.265625,22208.0,22206.927734375
26,22366.0,22365.244140625,22224.0,22207.01171875
27,22382.0,22365.205078125,22240.0,22207.140625
28,22374.0,22365.1875,22240.0,22207.26953125
29,22366.0,22365.138671875,22224.0,22207.4765625
30,22366.0,22365.21875,22240.0,22207.63671875
31,22400.0,22365.30078125,22232.0,22207.890625
32,22366.0,22365.484375,22216.0,22208.06640625
33,22374.0,22365.6953125,22216.0,22208.134765625
34,22374.0,22365.8984375,22232.0,22208.259765625
35,22350.0,22366.162109375,22224.0,22208.380859375
36,22382.0,22366.3515625,22248.0,22208.5546875
37,22358.0,22366.56640625,22224.0,22208.77734375
38,22390.0,22366.708984375,22208.0,22209.033203125
39,22366.0,22366.873046875,22232.0,22209.3828125
40,22390.0,22367.0234375,22224.0,22209.71875
41,22374.0,22367.171875,22224.0,22210.00390625
42,22350.0,22367.2109375,22232.0,22210.3515625
43,22390.0,22367.23828125,22232.0,22210.751953125
44,22374.0,22367.23828125,22240.0,22211.1640625
45,22390.0,22367.20703125,22216.0,22211.65234375
46,22374.0,22367.126953125,22232.0,22212.126953125
47,22374.0,22366.99609375,22216.0,22212.69921875
48,22350.0,22366.95703125,22224.0,22213.19921875
49,22350.0,22366.9921875,22232.0,22213.61328125
50,22366.0,22366.90234375,22240.0,22214.091796875
51,22350.0,22366.814453125,22240.0,22214.568359375
52,22350.0,22366.65234375,22232.0,22215.09375
53,22350.0,22366.484375,22240.0,22215.6328125
54,22358.0,22366.255859375,22232.0,22216.201171875
55,22350.0,22365.93359375,22224.0,22216.8125
56,22366.0,22365.63671875,22216.0,22217.40234375
57,22358.0,22365.3515625,22224.0,22218.005859375
58,22374.0,22365.03125,22190.0,22218.646484375
59,22358.0,22364.6328125,22248.0,22219.3125
60,22366.0,22364.20703125,22240.0,22219.98828125
61,22358.0,22363.662109375,22256.0,22220.673828125
62,22374.0,22363.21875,22232.0,22221.361328125
63,22350.0,22362.666015625,22224.0,22222.02734375
64,22350.0,22362.275390625,22190.0,22222.6640625
65,22350.0,22362.05078125,22224.0,22223.28515625
66,22374.0,22361.736328125,22224.0,22223.92578125
67,22366.0,22361.494140625,22232.0,22224.494140625
68,22374.0,22361.15234375,22256.0,22225.087890625
69,22350.0,22360.78125,22256.0,22225.646484375
70,22318.0,22360.326171875,22240.0,22226.22265625
71,22358.0,22359.80078125,22264.0,22226.71484375
72,22358.0,22359.265625,22224.0,22227.21484375
73,22374.0,22358.75,22240.0,22227.7734375
74,22350.0,22358.1484375,22256.0,22228.3203125
75,22382.0,22357.458984375,22264.0,22228.845703125
76,22350.0,22356.767578125,22232.0,22229.3671875
77,22358.0,22355.966796875,22232.0,22229.830078125
78,22350.0,22355.19140625,22248.0,22230.29296875
79,22350.0,22354.27734375,22248.0,22230.70703125
80,22358.0,22353.484375,22232.0,22231.130859375
81,22350.0,22352.84375,22256.0,22231.6171875
82,22342.0,22352.109375,22256.0,22232.07421875
83,22358.0,22351.390625,22264.0,22232.537109375
84,22350.0,22350.587890625,22264.0,22232.99609375
85,22390.0,22349.75390625,22264.0,22233.451171875
86,22342.0,22348.8828125,22240.0,22233.884765625
87,22342.0,22347.90234375,22240.0,22234.29296875
88,22350.0,22346.95703125,22248.0,22234.689453125
89,22342.0,22346.01171875,22240.0,22235.064453125
90,22342.0,22345.009765625,22282.0,22235.4453125
