# px1=364,350  px2=80,350  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,24044.0,24083.015625,22008.0,22011.923828125
1,22896.0,22918.01953125,22032.0,22019.013671875
2,23404.0,23417.0703125,22016.0,22016.162109375
3,23834.0,23814.650390625,22032.0,22014.54296875
4,22960.0,22967.66015625,22040.0,22020.33203125
5,23566.0,23559.029296875,22024.0,22013.3359375
6,23526.0,23535.05078125,22024.0,22014.39453125
7,23066.0,23092.5390625,22048.0,22021.625
8,23680.0,23698.9453125,22016.0,22012.5859375
9,23228.0,23229.9609375,22032.0,22015.25
10,23162.0,23157.380859375,22040.0,22025.767578125
11,23842.0,23846.65625,22000.0,22008.181640625
12,22880.0,22889.939453125,22032.0,22018.435546875
13,23220.0,23263.82421875,22048.0,22019.798828125
14,24012.0,24021.626953125,22008.0,22013.88671875
15,22872.0,22886.103515625,22040.0,22018.1875
16,23372.0,23380.37890625,22032.0,22018.4765625
17,23930.0,23930.75390625,22032.0,22014.734375
18,22936.0,22959.84375,22032.0,22019.29296875
19,23470.0,23478.41015625,22016.0,22017.03515625
20,23672.0,23679.19140625,22032.0,22013.978515625
21,22984.0,23018.208984375,22040.0,22022.583984375
22,23616.0,23611.921875,22040.0,22014.470703125
23,23404.0,23419.39453125,22032.0,22015.189453125
24,23098.0,23107.90234375,22040.0,22025.669921875
25,23760.0,23761.548828125,22016.0,22010.837890625
26,23114.0,23111.234375,22008.0,22016.791015625
27,23184.0,23201.173828125,22032.0,22023.375
28,23896.0,23890.109375,22016.0,22011.296875
29,22854.0,22850.513671875,22000.0,22020.23046875
30,23266.0,23285.13671875,22056.0,22020.27734375
31,24026.0,24037.48046875,22032.0,22014.47265625
32,22886.0,22886.5546875,22064.0,22019.71875
33,23370.0,23380.5859375,22008.0,22018.466796875
34,23944.0,23936.498046875,22008.0,22014.078125
35,22942.0,22957.140625,22040.0,22022.712890625
36,23476.0,23481.69140625,21990.0,22016.7109375
37,23686.0,23681.015625,22024.0,22015.205078125
38,23014.0,23023.900390625,22040.0,22024.408203125
39,23580.0,23593.703125,22024.0,22014.0703125
40,23452.0,23460.474609375,22008.0,22015.0546875
41,23104.0,23084.3359375,22040.0,22025.720703125
42,23694.0,23709.125,22024.0,22014.181640625
43,23218.0,23223.36328125,22040.0,22016.78515625
44,23144.0,23160.96875,22048.0,22024.74609375
45,23840.0,23841.796875,22032.0,22012.9609375
46,22966.0,22952.94921875,22032.0,22018.828125
47,23250.0,23239.07421875,22032.0,22023.654296875
48,23944.0,23940.234375,22024.0,22011.875
49,22862.0,22853.41796875,22032.0,22019.359375
50,23298.0,23306.375,22032.0,22023.658203125
51,24074.0,24052.625,22000.0,22015.6953125
52,22886.0,22899.158203125,22032.0,22019.798828125
53,23386.0,23387.21875,22016.0,22019.38671875
54,23912.0,23916.853515625,22016.0,22016.21875
55,22934.0,22951.01171875,22064.0,22021.412109375
56,23476.0,23482.076171875,22008.0,22018.373046875
57,23718.0,23710.7421875,22032.0,22016.78515625
58,22998.0,23006.65625,22032.0,22024.732421875
59,23572.0,23560.05078125,22024.0,22016.2421875
60,23524.0,23525.1484375,22016.0,22016.9765625
61,23072.0,23068.349609375,22032.0,22023.94140625
62,23670.0,23671.53515625,22032.0,22017.59375
63,23346.0,23341.34765625,22056.0,22017.4921875
64,23120.0,23124.8046875,22040.0,22026.54296875
65,23774.0,23778.99609375,22032.0,22014.33984375
66,23128.0,23117.150390625,22048.0,22017.833984375
67,23192.0,23187.52734375,22064.0,22027.8046875
68,23856.0,23851.4375,22024.0,22014.484375
69,22918.0,22905.515625,22040.0,22019.00390625
70,23234.0,23241.01953125,22040.0,22025.75390625
71,23952.0,23966.37890625,22008.0,22014.6171875
72,22854.0,22853.2734375,22048.0,22021.513671875
73,23290.0,23306.11328125,22024.0,22021.23828125
74,24050.0,24064.55859375,22032.0,22016.572265625
75,22886.0,22894.78125,22048.0,22022.4765625
76,23370.0,23378.669921875,22024.0,22019.248046875
77,23960.0,23954.87890625,22008.0,22018.796875
78,22918.0,22940.0,22040.0,22020.4609375
79,23428.0,23427.25,22016.0,22020.021484375
80,23832.0,23827.6171875,22016.0,22014.701171875
81,22982.0,22962.865234375,22048.0,22024.84765625
82,23524.0,23502.4375,22024.0,22017.103515625
83,23726.0,23705.29296875,22024.0,22017.59765625
84,23014.0,23010.302734375,22072.0,22024.3828125
85,23572.0,23572.3203125,22008.0,22015.759765625
86,23548.0,23549.0859375,22008.0,22015.78125
87,23040.0,23060.330078125,22032.0,22025.123046875
88,23630.0,23618.65625,22016.0,22016.67578125
89,23436.0,23431.427734375,22024.0,22016.875
90,23080.0,23087.3125,22032.0,22027.015625
91,23694.0,23692.05078125,22008.0,22012.02734375
92,23274.0,23296.71875,22048.0,22020.474609375
93,23096.0,23126.962890625,22032.0,22028.056640625
94,23774.0,23768.5234375,22024.0,22013.44921875
95,23152.0,23164.24609375,22024.0,22017.2421875
96,23160.0,23174.64453125,22048.0,22027.99609375
97,23816.0,23816.4921875,22008.0,22013.31640625
98,23024.0,23037.30859375,22032.0,22020.228515625
99,23176.0,23193.515625,22056.0,22026.33984375
100,23880.0,23868.8125,22016.0,22016.115234375
101,22910.0,22925.421875,22048.0,22021.126953125
102,23242.0,23228.796875,22032.0,22022.259765625
103,23936.0,23932.9921875,22016.0,22018.490234375
104,22854.0,22854.58984375,22048.0,22020.568359375
105,23258.0,23274.28515625,22056.0,22022.783203125
106,23968.0,23963.5390625,22032.0,22018.33203125
107,22862.0,22866.572265625,22024.0,22020.7890625
108,23298.0,23290.80859375,22056.0,22022.80859375
109,24002.0,24009.609375,22016.0,22018.314453125
110,22894.0,22873.8671875,22032.0,22021.28125
111,23290.0,23311.25,22048.0,22021.458984375
112,24050.0,24056.4609375,22032.0,22017.94921875
113,22894.0,22894.873046875,22032.0,22022.205078125
114,23378.0,23358.314453125,22064.0,22022.361328125
115,24010.0,24018.5625,22048.0,22017.88671875
116,22910.0,22918.04296875,22048.0,22021.513671875
117,23386.0,23373.822265625,22016.0,22021.517578125
118,23952.0,23981.30078125,22008.0,22017.8515625
119,22918.0,22927.0546875,22064.0,22023.02734375
120,23412.0,23407.78515625,22040.0,22020.94140625
121,23936.0,23927.625,22040.0,22019.32421875
122,22942.0,22943.171875,22056.0,22021.3515625
123,23444.0,23435.748046875,22048.0,22021.55078125
124,23864.0,23855.421875,22032.0,22017.40234375
125,22950.0,22958.3359375,22048.0,22024.658203125
126,23452.0,23449.845703125,22008.0,22020.1015625
127,23840.0,23829.15234375,22016.0,22018.271484375
128,22966.0,22972.87109375,22024.0,22025.27734375
129,23476.0,23482.5078125,22008.0,22018.95703125
130,23782.0,23786.658203125,22016.0,22017.58203125
131,22990.0,22986.841796875,22032.0,22025.11328125
132,23516.0,23502.2265625,22032.0,22020.107421875
133,23734.0,23724.2265625,22008.0,22018.974609375
134,22990.0,23000.767578125,22056.0,22024.44921875
135,23516.0,23501.060546875,22032.0,22020.1015625
136,23710.0,23707.322265625,22008.0,22017.03125
137,22998.0,22992.484375,22032.0,22027.26953125
138,23492.0,23515.81640625,22008.0,22018.2109375
139,23670.0,23679.712890625,22024.0,22019.447265625
140,23006.0,23008.27734375,22040.0,22027.37109375
141,23540.0,23537.328125,22016.0,22017.09765625
142,23654.0,23653.353515625,22024.0,22017.9375
143,23014.0,23012.962890625,22048.0,22028.294921875
144,23508.0,23533.22265625,22032.0,22017.955078125
145,23630.0,23631.732421875,22024.0,22018.958984375
146,23024.0,23008.23828125,22040.0,22028.4375
147,23580.0,23553.62890625,22000.0,22018.544921875
148,23646.0,23622.220703125,22032.0,22018.25390625
149,23024.0,23018.15625,22040.0,22027.955078125
150,23572.0,23559.58203125,22016.0,22018.498046875
151,23596.0,23593.12109375,22040.0,22020.091796875
152,23014.0,23029.30859375,22040.0,22028.021484375
153,23564.0,23563.64453125,22000.0,22017.5078125
154,23622.0,23608.59765625,22032.0,22021.0546875
155,23040.0,23021.376953125,22032.0,22026.90625
156,23580.0,23558.65625,22008.0,22018.96875
157,23614.0,23595.603515625,22032.0,22020.15234375
158,23056.0,23030.255859375,22032.0,22029.03125
159,23564.0,23571.2109375,22016.0,22017.64453125
160,23596.0,23579.970703125,22032.0,22020.78515625
161,23064.0,23036.90625,22056.0,22028.8203125
162,23556.0,23564.45703125,22024.0,22019.255859375
163,23596.0,23593.75390625,22008.0,22020.978515625
164,23006.0,23027.83203125,22024.0,22029.375
165,23596.0,23579.7734375,22032.0,22017.71875
166,23606.0,23598.263671875,22040.0,22020.40234375
167,23048.0,23042.025390625,22040.0,22026.994140625
168,23580.0,23583.14453125,22016.0,22021.248046875
169,23556.0,23577.57421875,22056.0,22020.57421875
170,23032.0,23041.2578125,22056.0,22030.3359375
171,23580.0,23571.4296875,22024.0,22018.876953125
172,23580.0,23574.81640625,22040.0,22020.33984375
173,23014.0,23029.96484375,22024.0,22029.40234375
174,23596.0,23581.3203125,22032.0,22019.482421875
175,23588.0,23576.40625,22016.0,22021.591796875
176,23064.0,23046.72265625,22040.0,22030.654296875
177,23596.0,23603.0,22016.0,22017.91015625
178,23556.0,23549.22265625,22024.0,22020.826171875
179,23064.0,23055.1953125,22040.0,22030.0234375
180,23614.0,23585.216796875,22040.0,22020.873046875
181,23524.0,23532.16796875,22040.0,22020.728515625
182,23048.0,23046.232421875,22024.0,22031.42578125
183,23622.0,23609.58984375,22008.0,22017.685546875
184,23532.0,23520.6640625,22032.0,22022.6953125
185,23064.0,23060.541015625,22016.0,22030.44921875
186,23662.0,23628.83203125,22008.0,22020.93359375
187,23508.0,23484.158203125,22048.0,22021.5625
188,23096.0,23081.021484375,22064.0,22030.603515625
189,23646.0,23636.80859375,22032.0,22018.974609375
190,23468.0,23458.05859375,22016.0,22023.72265625
191,23080.0,23088.009765625,22032.0,22030.685546875
192,23670.0,23663.15625,22016.0,22019.298828125
193,23412.0,23419.828125,22032.0,22023.5546875
194,23104.0,23105.982421875,22040.0,22031.3359375
195,23710.0,23699.4765625,22024.0,22019.775390625
196,23362.0,23353.330078125,22040.0,22024.94921875
197,23128.0,23127.740234375,22048.0,22032.140625
198,23718.0,23708.884765625,22040.0,22019.1796875
199,23314.0,23313.5546875,22024.0,22023.150390625
200,23128.0,23122.736328125,22056.0,22034.2421875
201,23758.0,23744.943359375,22008.0,22019.091796875
202,23258.0,23263.04296875,22040.0,22025.484375
203,23160.0,23150.20703125,22048.0,22030.87890625
204,23774.0,23775.109375,22016.0,22020.921875
205,23192.0,23174.80859375,22032.0,22025.13671875
206,23176.0,23159.576171875,22056.0,22033.107421875
207,23808.0,23791.35546875,22008.0,22020.9765625
208,23112.0,23120.505859375,22040.0,22025.693359375
209,23192.0,23185.345703125,22048.0,22030.982421875
210,23840.0,23839.474609375,22032.0,22022.08203125
211,23040.0,23055.80078125,22048.0,22027.099609375
212,23218.0,23212.70703125,22048.0,22034.9453125
213,23904.0,23887.1484375,22016.0,22017.158203125
214,22966.0,22967.892578125,22032.0,22025.4140625
215,23234.0,23238.048828125,22040.0,22032.603515625
216,23904.0,23895.798828125,22032.0,22024.703125
217,22910.0,22905.609375,22056.0,22027.4296875
218,23250.0,23242.9609375,22056.0,22030.173828125
219,23976.0,23953.609375,22024.0,22023.32421875
220,22862.0,22871.931640625,22056.0,22027.796875
221,23274.0,23279.35546875,22032.0,22030.2421875
222,24010.0,24007.361328125,22040.0,22023.0546875
223,22862.0,22871.22265625,22040.0,22028.287109375
224,23298.0,23305.953125,22040.0,22030.35546875
225,24018.0,24007.91796875,22016.0,22023.66015625
226,22902.0,22885.265625,22032.0,22028.27734375
227,23298.0,23311.072265625,22040.0,22030.42578125
228,24050.0,24038.521484375,22024.0,22022.828125
229,22894.0,22882.0,22040.0,22029.986328125
230,23354.0,23347.056640625,22048.0,22027.56640625
231,24082.0,24078.7109375,22040.0,22026.8125
232,22918.0,22897.35546875,22024.0,22027.71484375
233,23378.0,23375.54296875,22016.0,22027.958984375
234,24026.0,24038.58984375,22000.0,22025.810546875
235,22934.0,22929.01953125,22048.0,22028.64453125
236,23402.0,23389.4765625,22040.0,22028.451171875
237,23968.0,23988.7578125,22032.0,22024.54296875
238,22926.0,22932.96875,22040.0,22029.970703125
239,23402.0,23424.0390625,22048.0,22027.6796875
240,23952.0,23936.08984375,22016.0,22025.390625
241,22966.0,22952.41015625,22024.0,22028.83203125
242,23460.0,23458.923828125,22048.0,22026.92578125
243,23848.0,23846.2421875,22024.0,22026.529296875
244,22974.0,22988.318359375,22032.0,22029.80078125
245,23468.0,23484.40625,22032.0,22026.298828125
246,23800.0,23794.189453125,22040.0,22024.2109375
247,23006.0,22997.47265625,22048.0,22032.23828125
248,23532.0,23533.0,22032.0,22024.6328125
249,23702.0,23708.34375,22040.0,22024.650390625
250,23032.0,23019.732421875,22064.0,22032.6875
251,23596.0,23572.841796875,22024.0,22023.349609375
252,23606.0,23614.72265625,22032.0,22024.3046875
253,23038.0,23050.177734375,22038.0,22034.70703125
254,23594.0,23598.390625,22030.0,22022.640625
255,23522.0,23539.205078125,22022.0,22024.515625
256,23078.0,23065.349609375,22038.0,22033.6015625
