# px1=146,132  px2=164,208  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,22464.0,22472.2890625,23422.0,23419.56640625
1,22464.0,22472.060546875,23422.0,23419.34375
2,22480.0,22471.861328125,23438.0,23419.12890625
3,22480.0,22471.615234375,23422.0,23418.931640625
4,22472.0,22471.3515625,23430.0,23418.736328125
5,22446.0,22471.20703125,23438.0,23418.541015625
6,22472.0,22471.140625,23414.0,23418.35546875
7,22480.0,22470.95703125,23396.0,23418.17578125
8,22464.0,22470.703125,23414.0,23418.0234375
9,22456.0,22470.49609375,23422.0,23417.89453125
10,22488.0,22470.34375,23438.0,23417.75390625
11,22446.0,22470.19921875,23438.0,23417.62109375
12,22472.0,22470.087890625,23430.0,23417.48828125
13,22480.0,22469.98828125,23372.0,23417.3515625
14,22446.0,22469.91796875,23414.0,23417.19921875
15,22472.0,22469.90625,23388.0,23417.03125
16,22472.0,22469.900390625,23380.0,23416.84765625
17,22496.0,22469.90234375,23414.0,23416.669921875
18,22488.0,22469.91796875,23414.0,23416.50390625
19,22464.0,22470.015625,23406.0,23416.30078125
20,22430.0,22470.099609375,23414.0,23416.13671875
21,22446.0,22470.19921875,23422.0,23415.99609375
22,22488.0,22470.29296875,23422.0,23415.859375
23,22456.0,22470.45703125,23406.0,23415.6875
24,22464.0,22470.625,23388.0,23415.466796875
25,22480.0,22470.80859375,23388.0,23415.21484375
26,22464.0,22470.958984375,23406.0,23415.052734375
27,22464.0,22471.138671875,23396.0,23414.86328125
28,22472.0,22471.3046875,23406.0,23414.69921875
29,22446.0,22471.498046875,23396.0,23414.43359375
30,22480.0,22471.66796875,23422.0,23414.3125
31,22464.0,22471.80078125,23396.0,23414.208984375
32,22488.0,22471.962890625,23396.0,23414.22265625
33,22488.0,22472.08984375,23396.0,23414.384765625
34,22446.0,22472.19140625,23422.0,23414.5
35,22488.0,22472.201171875,23422.0,23414.75390625
36,22456.0,22472.1953125,23396.0,23414.88671875
37,22480.0,22472.1640625,23396.0,23415.1875
38,22464.0,22472.1484375,23396.0,23415.40234375
39,22446.0,22472.037109375,23406.0,23415.607421875
40,22480.0,22471.99609375,23438.0,23415.888671875
41,22488.0,22472.00390625,23430.0,23415.890625
42,22472.0,22471.953125,23446.0,23415.75
43,22488.0,22471.900390625,23438.0,23415.41015625
44,22464.0,22471.826171875,23430.0,23415.138671875
45,22480.0,22471.724609375,23414.0,23414.7578125
46,22464.0,22471.556640625,23406.0,23414.099609375
47,22472.0,22471.396484375,23388.0,23413.5234375
48,22480.0,22471.171875,23388.0,23412.58984375
49,22446.0,22470.986328125,23388.0,23412.02734375
50,22480.0,22470.8046875,23388.0,23411.544921875
51,22464.0,22470.66015625,23406.0,23411.357421875
52,22456.0,22470.5703125,23438.0,23411.18359375
53,22464.0,22470.484375,23422.0,23411.041015625
54,22488.0,22470.419921875,23396.0,23411.4296875
55,22456.0,22470.3984375,23414.0,23411.74609375
56,22464.0,22470.314453125,23396.0,23412.70703125
57,22456.0,22470.189453125,23388.0,23413.3359375
58,22456.0,22470.1953125,23406.0,23413.9609375
59,22446.0,22470.189453125,23406.0,23414.34765625
60,22472.0,22470.22265625,23396.0,23414.4921875
61,22464.0,22470.255859375,23438.0,23414.6484375
62,22456.0,22470.41796875,23380.0,23414.3515625
63,22464.0,22470.58984375,23438.0,23414.00390625
64,22446.0,22470.78515625,23396.0,23413.1953125
65,22430.0,22470.953125,23422.0,23412.65234375
66,22472.0,22471.1875,23396.0,23411.900390625
67,22480.0,22471.42578125,23422.0,23411.216796875
68,22488.0,22471.646484375,23388.0,23410.73828125
69,22456.0,22471.90234375,23396.0,23410.150390625
70,22456.0,22472.12890625,23406.0,23409.66796875
71,22472.0,22472.376953125,23380.0,23409.11328125
72,22472.0,22472.59375,23406.0,23408.787109375
73,22464.0,22472.7734375,23422.0,23408.46875
74,22488.0,22472.8984375,23396.0,23408.19921875
75,22488.0,22473.015625,23396.0,23407.8984375
76,22480.0,22473.130859375,23406.0,23407.462890625
77,22496.0,22473.2421875,23388.0,23407.0078125
78,22472.0,22473.27734375,23406.0,23406.5859375
79,22472.0,22473.3359375,23406.0,23406.08984375
80,22464.0,22473.392578125,23406.0,23405.548828125
81,22472.0,22473.498046875,23406.0,23404.99609375
82,22488.0,22473.517578125,23396.0,23404.49609375
83,22464.0,22473.591796875,23406.0,23403.90625
84,22446.0,22473.6328125,23406.0,23403.392578125
85,22464.0,22473.658203125,23372.0,23402.921875
86,22464.0,22473.65625,23380.0,23402.46484375
87,22480.0,22473.63671875,23414.0,23401.9921875
88,22472.0,22473.640625,23380.0,23401.470703125
89,22446.0,22473.669921875,23396.0,23400.814453125
90,22464.0,22473.681640625,23422.0,23400.2421875
91,22488.0,22473.66015625,23396.0,23399.64453125
92,22488.0,22473.60546875,23422.0,23399.1015625
93,22464.0,22473.4921875,23396.0,23398.61328125
94,22456.0,22473.455078125,23414.0,23398.10546875
95,22488.0,22473.29296875,23380.0,23397.794921875
96,22496.0,22473.248046875,23372.0,23397.3671875
97,22464.0,22473.259765625,23388.0,23396.931640625
98,22464.0,22473.21875,23380.0,23396.560546875
99,22496.0,22473.11328125,23396.0,23396.43359375
100,22480.0,22472.9453125,23356.0,23396.375
101,22480.0,22472.72265625,23388.0,23396.31640625
102,22480.0,22472.45703125,23388.0,23396.24609375
103,22464.0,22472.060546875,23406.0,23396.46875
104,22464.0,22471.689453125,23396.0,23396.515625
105,22464.0,22471.3828125,23380.0,23396.595703125
106,22488.0,22470.97265625,23396.0,23396.8203125
107,22480.0,22470.51171875,23372.0,23397.1484375
108,22480.0,22470.03515625,23372.0,23397.48828125
109,22446.0,22469.486328125,23422.0,23397.98828125
110,22464.0,22468.890625,23396.0,23398.689453125
111,22472.0,22468.232421875,23388.0,23399.26171875
112,22488.0,22467.59765625,23406.0,23400.0625
113,22472.0,22467.05078125,23406.0,23400.5234375
114,22480.0,22466.44140625,23406.0,23401.015625
115,22480.0,22465.87109375,23396.0,23401.107421875
116,22446.0,22465.2734375,23396.0,23401.130859375
117,22456.0,22464.671875,23388.0,23401.07421875
118,22430.0,22464.0703125,23396.0,23400.869140625
119,22464.0,22463.4765625,23396.0,23400.484375
120,22472.0,22462.91015625,23380.0,23400.05078125
121,22472.0,22462.30078125,23414.0,23399.91796875
122,22464.0,22461.70703125,23388.0,23399.5078125
123,22456.0,22461.107421875,23372.0,23399.27734375
124,22446.0,22460.5078125,23364.0,23399.0546875
125,22472.0,22459.939453125,23380.0,23398.7734375
126,22430.0,22459.37890625,23396.0,23398.275390625
127,22464.0,22458.859375,23372.0,23397.9296875
128,22456.0,22458.306640625,23396.0,23397.484375
129,22446.0,22457.70703125,23396.0,23396.98046875
130,22430.0,22457.166015625,23372.0,23396.4765625
131,22446.0,22456.6484375,23388.0,23395.974609375
132,22472.0,22456.16015625,23396.0,23395.6328125
133,22464.0,22455.685546875,23372.0,23395.7421875
134,22464.0,22455.24609375,23396.0,23395.70703125
135,22446.0,22454.890625,23414.0,23395.80859375
136,22446.0,22454.51171875,23380.0,23395.40234375
137,22438.0,22454.111328125,23414.0,23394.33203125
138,22446.0,22453.75390625,23356.0,23394.015625
139,22464.0,22453.44921875,23422.0,23393.4609375
140,22446.0,22453.171875,23380.0,23393.2734375
141,22488.0,22452.984375,23414.0,23392.505859375
142,22430.0,22452.748046875,23372.0,23392.6796875
143,22438.0,22452.58984375,23372.0,23393.17578125
144,22464.0,22452.3125,23380.0,23394.01171875
145,22438.0,22451.90625,23378.0,23395.95703125
146,22446.0,22451.599609375,23404.0,23398.0
147,22446.0,22451.23046875,23386.0,23401.205078125
148,22464.0,22450.947265625,23394.0,23403.8515625
149,22430.0,22450.66796875,23404.0,23406.73828125
150,22438.0,22450.46484375,23420.0,23409.625
151,22446.0,22450.30859375,23420.0,23412.388671875
152,22456.0,22450.146484375,23420.0,23415.71875
153,22446.0,22450.001953125,23412.0,23418.255859375
154,22446.0,22449.9296875,23420.0,23419.986328125
155,22472.0,22449.9296875,23420.0,23420.4375
156,22446.0,22449.953125,23386.0,23420.740234375
157,22456.0,22450.0390625,23386.0,23421.31640625
158,22446.0,22450.08984375,23428.0,23420.609375
159,22446.0,22450.23046875,23420.0,23418.931640625
160,22456.0,22450.234375,23412.0,23416.7890625
161,22430.0,22450.12109375,23378.0,23414.7109375
162,22464.0,22450.11328125,23420.0,23412.06640625
163,22438.0,22450.044921875,23412.0,23408.94140625
164,22446.0,22450.080078125,23412.0,23406.203125
165,22438.0,22450.181640625,23404.0,23402.7578125
166,22456.0,22450.33203125,23394.0,23399.4921875
167,22438.0,22450.53125,23378.0,23396.41796875
168,22456.0,22450.685546875,23362.0,23393.3125
169,22464.0,22450.744140625,23386.0,23391.275390625
170,22464.0,22450.919921875,23378.0,23389.74609375
171,22472.0,22451.10546875,23386.0,23389.6328125
172,22456.0,22451.3203125,23370.0,23389.23046875
173,22446.0,22451.568359375,23370.0,23388.87890625
174,22430.0,22451.865234375,23362.0,23389.66015625
175,22456.0,22452.27734375,23386.0,23391.02734375
176,22456.0,22452.671875,23394.0,23393.16015625
177,22472.0,22453.07421875,23378.0,23394.59375
178,22430.0,22453.48828125,23412.0,23396.34375
179,22464.0,22454.0390625,23404.0,23397.78515625
180,22464.0,22454.58203125,23394.0,23398.9375
181,22430.0,22455.107421875,23428.0,23400.57421875
182,22464.0,22455.591796875,23436.0,23401.646484375
183,22438.0,22456.169921875,23412.0,23402.427734375
184,22430.0,22456.70703125,23428.0,23402.8046875
185,22480.0,22457.328125,23394.0,23402.779296875
186,22446.0,22457.90234375,23386.0,23402.28125
187,22464.0,22458.5,23378.0,23401.0390625
188,22446.0,22459.068359375,23362.0,23400.234375
189,22480.0,22459.625,23394.0,23399.30859375
190,22438.0,22460.21484375,23436.0,23397.716796875
191,22496.0,22460.6171875,23404.0,23395.9453125
192,22446.0,22461.177734375,23394.0,23393.6015625
193,22480.0,22461.70703125,23370.0,23391.77734375
194,22456.0,22462.14453125,23362.0,23390.091796875
195,22464.0,22462.330078125,23362.0,23388.87890625
196,22464.0,22462.4140625,23362.0,23387.759765625
197,22464.0,22462.4296875,23394.0,23386.08984375
198,22472.0,22462.419921875,23362.0,23385.400390625
199,22464.0,22462.12109375,23378.0,23384.9609375
200,22472.0,22461.998046875,23386.0,23385.33984375
201,22472.0,22461.982421875,23386.0,23386.16796875
202,22472.0,22461.732421875,23394.0,23387.1328125
203,22446.0,22461.44140625,23396.0,23388.609375
204,22464.0,22461.078125,23380.0,23389.484375
205,22446.0,22460.625,23386.0,23391.00390625
206,22472.0,22459.96484375,23404.0,23392.34375
207,22446.0,22459.3359375,23412.0,23393.4375
208,22446.0,22458.619140625,23394.0,23394.646484375
209,22488.0,22458.0625,23404.0,23394.6953125
210,22438.0,22457.40234375,23378.0,23394.41015625
211,22456.0,22456.9375,23394.0,23392.904296875
212,22480.0,22456.521484375,23404.0,23391.7421875
213,22464.0,22456.150390625,23378.0,23390.2421875
214,22430.0,22455.79296875,23386.0,23387.91015625
215,22464.0,22455.599609375,23378.0,23385.447265625
216,22430.0,22455.3203125,23386.0,23382.111328125
217,22464.0,22454.89453125,23354.0,23379.953125
218,22446.0,22454.734375,23362.0,23377.7265625
219,22438.0,22454.560546875,23338.0,23376.44921875
220,22446.0,22454.44921875,23386.0,23375.318359375
221,22472.0,22454.38671875,23362.0,23374.11328125
222,22446.0,22454.611328125,23378.0,23373.796875
223,22456.0,22454.875,23394.0,23373.76953125
224,22446.0,22455.22265625,23362.0,23374.63671875
225,22464.0,22455.46875,23362.0,23374.9296875
226,22446.0,22455.890625,23362.0,23375.58984375
227,22446.0,22456.296875,23378.0,23376.1015625
228,22456.0,22456.689453125,23370.0,23376.23828125
229,22438.0,22457.126953125,23370.0,23376.64453125
230,22446.0,22457.5234375,23346.0,23376.802734375
231,22464.0,22457.96875,23370.0,23376.986328125
232,22464.0,22458.322265625,23378.0,23376.7109375
233,22446.0,22458.673828125,23354.0,23376.337890625
234,22464.0,22458.93359375,23362.0,23375.876953125
235,22464.0,22459.2109375,23378.0,23375.2265625
236,22464.0,22459.5234375,23394.0,23374.9296875
237,22464.0,22459.84375,23362.0,23374.57421875
238,22464.0,22460.029296875,23354.0,23374.08203125
239,22464.0,22460.2421875,23362.0,23373.583984375
240,22438.0,22460.435546875,23346.0,23372.96484375
241,22464.0,22460.671875,23370.0,23372.4609375
242,22438.0,22460.80078125,23386.0,23372.017578125
243,22464.0,22460.953125,23394.0,23371.67578125
244,22456.0,22461.0703125,23346.0,23371.35546875
245,22464.0,22461.171875,23362.0,23371.09375
246,22430.0,22461.267578125,23362.0,23370.939453125
247,22464.0,22461.3125,23362.0,23370.875
248,22464.0,22461.4453125,23362.0,23370.806640625
249,22446.0,22461.6171875,23362.0,23370.5625
250,22488.0,22461.75390625,23386.0,23370.53125
251,22456.0,22461.857421875,23346.0,23370.46875
252,22456.0,22461.904296875,23386.0,23370.44921875
253,22456.0,22461.875,23378.0,23370.46875
254,22446.0,22461.90234375,23362.0,23370.61328125
255,22488.0,22461.810546875,23354.0,23370.87109375
256,22464.0,22461.80859375,23362.0,23371.09375
257,22464.0,22461.91015625,23404.0,23371.322265625
258,22456.0,22461.958984375,23378.0,23371.623046875
259,22472.0,22461.970703125,23362.0,23372.05078125
260,22456.0,22461.953125,23354.0,23372.4921875
261,22464.0,22461.890625,23362.0,23372.931640625
262,22488.0,22461.787109375,23378.0,23373.33984375
263,22464.0,22461.556640625,23394.0,23373.849609375
264,22446.0,22461.302734375,23362.0,23374.314453125
265,22472.0,22461.0859375,23378.0,23374.8359375
266,22438.0,22460.84765625,23370.0,23375.28125
267,22464.0,22460.52734375,23370.0,23375.75
268,22456.0,22460.21875,23370.0,23376.19921875
269,22480.0,22459.80859375,23370.0,23376.6484375
270,22464.0,22459.466796875,23370.0,23377.0546875
271,22446.0,22459.033203125,23362.0,23377.3203125
272,22464.0,22458.70703125,23404.0,23377.6796875
273,22472.0,22458.515625,23386.0,23378.033203125
274,22464.0,22458.26171875,23386.0,23378.2734375
275,22464.0,22458.08984375,23370.0,23378.3125
276,22430.0,22457.833984375,23370.0,23378.28125
277,22464.0,22457.55078125,23378.0,23378.181640625
278,22456.0,22457.234375,23386.0,23378.068359375
279,22488.0,22456.91015625,23362.0,23377.69921875
280,22472.0,22456.625,23362.0,23377.4921875
281,22446.0,22456.357421875,23378.0,23377.376953125
282,22464.0,22455.9921875,23386.0,23377.09765625
283,22456.0,22455.615234375,23362.0,23376.76171875
284,22446.0,22455.21875,23394.0,23376.3515625
285,22480.0,22454.8359375,23370.0,23375.859375
286,22464.0,22454.375,23362.0,23375.26953125
287,22456.0,22453.884765625,23346.0,23374.650390625
288,22446.0,22453.384765625,23370.0,23374.029296875
289,22464.0,22452.87109375,23354.0,23373.54296875
290,22464.0,22452.337890625,23354.0,23372.96484375
291,22464.0,22451.76171875,23370.0,23372.537109375
292,22456.0,22451.1953125,23362.0,23372.109375
293,22456.0,22450.62890625,23378.0,23371.63671875
294,22456.0,22450.103515625,23362.0,23371.171875
295,22464.0,22449.57421875,23370.0,23370.822265625
296,22472.0,22449.0859375,23370.0,23370.455078125
297,22446.0,22448.57421875,23370.0,23370.10546875
298,22446.0,22448.095703125,23346.0,23369.8359375
299,22446.0,22447.646484375,23346.0,23369.62109375
300,22446.0,22447.2109375,23362.0,23369.416015625
301,22472.0,22446.830078125,23370.0,23369.3203125
302,22430.0,22446.421875,23370.0,23369.322265625
303,22430.0,22446.125,23346.0,23369.3125
304,22438.0,22445.701171875,23362.0,23369.32421875
305,22446.0,22445.19921875,23354.0,23369.08984375
306,22438.0,22444.810546875,23370.0,23368.9921875
307,22446.0,22444.46484375,23386.0,23368.689453125
308,22464.0,22444.2265625,23386.0,23368.5
309,22430.0,22444.03125,23354.0,23368.357421875
310,22456.0,22443.890625,23362.0,23368.125
311,22430.0,22443.90234375,23362.0,23367.951171875
312,22446.0,22443.806640625,23338.0,23367.4609375
313,22446.0,22443.65234375,23354.0,23366.998046875
314,22438.0,22443.669921875,23354.0,23366.734375
315,22438.0,22443.751953125,23354.0,23366.59765625
316,22422.0,22443.8984375,23354.0,23366.62109375
317,22446.0,22444.130859375,23362.0,23366.5859375
318,22422.0,22444.45703125,23378.0,23366.80078125
319,22430.0,22444.875,23354.0,23367.234375
320,22438.0,22445.26171875,23354.0,23367.76171875
321,22430.0,22445.50390625,23354.0,23368.2890625
322,22464.0,22445.859375,23354.0,23368.931640625
323,22456.0,22446.16015625,23378.0,23369.75390625
324,22472.0,22446.486328125,23354.0,23370.48046875
325,22446.0,22446.8671875,23354.0,23371.5234375
326,22430.0,22447.25,23378.0,23372.47265625
327,22446.0,22447.6640625,23378.0,23373.54296875
328,22438.0,22448.064453125,23386.0,23374.5546875
329,22438.0,22448.44140625,23362.0,23375.076171875
330,22464.0,22448.7734375,23354.0,23375.576171875
331,22464.0,22449.1328125,23370.0,23375.798828125
332,22446.0,22449.48046875,23354.0,23376.1875
333,22456.0,22449.84375,23364.0,23376.57421875
334,22446.0,22450.12109375,23364.0,23376.6875
335,22438.0,22450.451171875,23372.0,23376.9921875
336,22472.0,22450.77734375,23380.0,23376.888671875
337,22446.0,22451.13671875,23380.0,23377.05078125
338,22446.0,22451.40234375,23372.0,23377.33984375
339,22464.0,22451.7265625,23380.0,23377.990234375
340,22430.0,22452.01171875,23356.0,23378.7890625
341,22430.0,22452.267578125,23396.0,23379.6953125
342,22456.0,22452.509765625,23378.0,23380.92578125
343,22446.0,22452.728515625,23378.0,23382.34375
344,22446.0,22453.025390625,23354.0,23383.89453125
345,22464.0,22453.390625,23386.0,23385.10546875
346,22446.0,22453.6875,23354.0,23386.671875
347,22456.0,22453.96875,23394.0,23388.103515625
348,22472.0,22454.19921875,23412.0,23389.4921875
349,22456.0,22454.373046875,23378.0,23390.845703125
350,22456.0,22454.544921875,23386.0,23392.37109375
351,22472.0,22454.564453125,23394.0,23393.830078125
352,22472.0,22454.634765625,23378.0,23395.30859375
353,22472.0,22454.759765625,23386.0,23397.013671875
354,22472.0,22454.8515625,23412.0,23398.6171875
355,22438.0,22454.80078125,23404.0,23400.29296875
356,22472.0,22454.7578125,23386.0,23401.828125
357,22446.0,22454.646484375,23386.0,23403.19140625
358,22464.0,22454.52734375,23404.0,23404.552734375
359,22438.0,22454.21875,23394.0,23405.62890625
360,22472.0,22453.88671875,23378.0,23407.13671875
361,22438.0,22453.615234375,23420.0,23408.89453125
362,22446.0,22453.375,23420.0,23410.02734375
363,22472.0,22453.05078125,23420.0,23411.03515625
364,22456.0,22452.75,23428.0,23411.736328125
365,22456.0,22452.353515625,23394.0,23412.298828125
366,22438.0,22452.0546875,23428.0,23412.306640625
367,22464.0,22451.703125,23436.0,23411.87109375
368,22456.0,22451.4296875,23412.0,23411.4609375
369,22438.0,22451.25,23394.0,23411.27734375
370,22472.0,22451.05078125,23394.0,23410.58984375
