# px1=196,234  px2=196,236  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,21140.0,21150.244140625,21142.0,21151.361328125
1,21140.0,21150.25390625,21150.0,21151.37109375
2,21148.0,21150.265625,21142.0,21151.3828125
3,21148.0,21150.2734375,21158.0,21151.392578125
4,21124.0,21150.283203125,21158.0,21151.40234375
5,21148.0,21150.29296875,21158.0,21151.4140625
6,21140.0,21150.3046875,21158.0,21151.42578125
7,21116.0,21150.318359375,21150.0,21151.4375
8,21132.0,21150.328125,21158.0,21151.44921875
9,21140.0,21150.337890625,21158.0,21151.458984375
10,21148.0,21150.349609375,21142.0,21151.470703125
11,21148.0,21150.36328125,21158.0,21151.484375
12,21148.0,21150.37890625,21150.0,21151.498046875
13,21140.0,21150.39453125,21158.0,21151.513671875
14,21140.0,21150.41015625,21134.0,21151.52734375
15,21140.0,21150.4375,21150.0,21151.548828125
16,21148.0,21150.455078125,21142.0,21151.5625
17,21148.0,21150.470703125,21150.0,21151.578125
18,21124.0,21150.490234375,21166.0,21151.59375
19,21148.0,21150.515625,21166.0,21151.615234375
20,21132.0,21150.54296875,21166.0,21151.638671875
21,21140.0,21150.5703125,21150.0,21151.662109375
22,21148.0,21150.6015625,21150.0,21151.689453125
23,21132.0,21150.640625,21166.0,21151.720703125
24,21148.0,21150.681640625,21126.0,21151.751953125
25,21156.0,21150.720703125,21158.0,21151.783203125
26,21108.0,21150.76171875,21158.0,21151.81640625
27,21164.0,21150.802734375,21142.0,21151.8515625
28,21148.0,21150.845703125,21158.0,21151.884765625
29,21140.0,21150.89453125,21158.0,21151.921875
30,21124.0,21150.9375,21174.0,21151.958984375
31,21148.0,21150.98046875,21150.0,21151.9921875
32,21148.0,21151.017578125,21142.0,21152.0234375
33,21100.0,21151.046875,21142.0,21152.05078125
34,21132.0,21151.08203125,21150.0,21152.08203125
35,21156.0,21151.10546875,21142.0,21152.103515625
36,21148.0,21151.13671875,21134.0,21152.130859375
37,21148.0,21151.1640625,21150.0,21152.15234375
38,21132.0,21151.193359375,21142.0,21152.17578125
39,21156.0,21151.216796875,21126.0,21152.1953125
40,21132.0,21151.236328125,21142.0,21152.2109375
41,21116.0,21151.265625,21142.0,21152.234375
