# px1=226,262  px2=201,296  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,22586.0,22590.166015625,22568.0,22588.357421875
1,22585.0,22590.1015625,22568.0,22588.29296875
2,22584.0,22590.0390625,22569.0,22588.23046875
3,22589.0,22589.982421875,22569.0,22588.171875
4,22589.0,22589.92578125,22566.0,22588.11328125
5,22589.0,22589.875,22566.0,22588.060546875
6,22589.0,22589.822265625,22566.0,22588.0078125
7,22589.0,22589.77734375,22566.0,22587.96484375
8,22589.0,22589.736328125,22565.0,22587.921875
9,22593.0,22589.69921875,22565.0,22587.884765625
10,22592.0,22589.658203125,22565.0,22587.84375
11,22592.0,22589.625,22565.0,22587.8125
12,22592.0,22589.58984375,22565.0,22587.77734375
13,22590.0,22589.55859375,22565.0,22587.748046875
14,22590.0,22589.529296875,22565.0,22587.72265625
15,22588.0,22589.5,22565.0,22587.69921875
16,22588.0,22589.4765625,22565.0,22587.685546875
17,22588.0,22589.455078125,22565.0,22587.66796875
18,22589.0,22589.431640625,22567.0,22587.650390625
19,22589.0,22589.404296875,22567.0,22587.62890625
20,22589.0,22589.375,22566.0,22587.609375
21,22589.0,22589.3515625,22570.0,22587.58984375
22,22589.0,22589.32421875,22570.0,22587.5703125
23,22589.0,22589.294921875,22570.0,22587.548828125
24,22589.0,22589.26171875,22570.0,22587.52734375
25,22589.0,22589.234375,22574.0,22587.509765625
26,22589.0,22589.20703125,22573.0,22587.490234375
27,22589.0,22589.1796875,22572.0,22587.470703125
28,22586.0,22589.15234375,22571.0,22587.451171875
29,22586.0,22589.119140625,22571.0,22587.427734375
30,22586.0,22589.09375,22570.0,22587.41015625
31,22586.0,22589.0703125,22570.0,22587.392578125
32,22586.0,22589.052734375,22570.0,22587.3828125
33,22588.0,22589.052734375,22575.0,22587.3828125
34,22586.0,22589.046875,22574.0,22587.3828125
35,22585.0,22589.0546875,22574.0,22587.390625
36,22586.0,22589.0546875,22574.0,22587.39453125
37,22586.0,22589.060546875,22574.0,22587.400390625
38,22586.0,22589.0625,22568.0,22587.404296875
39,22586.0,22589.064453125,22567.0,22587.40625
40,22587.0,22589.0703125,22567.0,22587.4140625
41,22586.0,22589.078125,22566.0,22587.42578125
42,22585.0,22589.078125,22566.0,22587.431640625
43,22585.0,22589.072265625,22566.0,22587.431640625
44,22585.0,22589.0703125,22565.0,22587.435546875
45,22585.0,22589.05859375,22565.0,22587.4296875
46,22584.0,22589.046875,22565.0,22587.421875
