# px1=300,250  px2=301,251  fps=60.0
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,20360.0,20350.7265625,20348.0,20345.33203125
1,20376.0,20350.822265625,20332.0,20345.42578125
2,20336.0,20350.91796875,20348.0,20345.521484375
3,20360.0,20351.017578125,20324.0,20345.62109375
4,20328.0,20351.1171875,20348.0,20345.71875
5,20336.0,20351.21875,20340.0,20345.8203125
6,20360.0,20351.318359375,20348.0,20345.921875
7,20344.0,20351.421875,20348.0,20346.0234375
8,20336.0,20351.5234375,20364.0,20346.125
9,20328.0,20351.625,20348.0,20346.2265625
10,20336.0,20351.724609375,20348.0,20346.326171875
11,20320.0,20351.8203125,20324.0,20346.421875
12,20328.0,20351.9140625,20324.0,20346.517578125
13,20344.0,20352.0,20332.0,20346.607421875
14,20344.0,20352.08984375,20332.0,20346.69921875
15,20376.0,20352.16796875,20356.0,20346.78125
16,20352.0,20352.251953125,20340.0,20346.869140625
17,20352.0,20352.34765625,20348.0,20346.966796875
18,20328.0,20352.4375,20356.0,20347.060546875
19,20328.0,20352.52734375,20372.0,20347.15234375
20,20360.0,20352.61328125,20340.0,20347.2421875
21,20336.0,20352.6953125,20340.0,20347.328125
22,20352.0,20352.77734375,20314.0,20347.4140625
23,20336.0,20352.841796875,20340.0,20347.484375
24,20360.0,20352.90625,20332.0,20347.5546875
25,20336.0,20352.97265625,20348.0,20347.62890625
26,20360.0,20353.04296875,20324.0,20347.703125
27,20344.0,20353.09765625,20332.0,20347.765625
28,20336.0,20353.154296875,20364.0,20347.828125
29,20360.0,20353.1953125,20348.0,20347.87890625
30,20360.0,20353.24609375,20340.0,20347.93359375
31,20344.0,20353.279296875,20340.0,20347.974609375
32,20360.0,20353.3203125,20340.0,20348.01953125
33,20344.0,20353.3828125,20324.0,20348.0859375
34,20344.0,20353.44140625,20356.0,20348.1484375
35,20328.0,20353.5078125,20356.0,20348.21484375
36,20360.0,20353.56640625,20340.0,20348.279296875
37,20352.0,20353.6171875,20340.0,20348.3359375
38,20336.0,20353.66796875,20340.0,20348.390625
39,20344.0,20353.70703125,20348.0,20348.4375
40,20352.0,20353.748046875,20324.0,20348.486328125
41,20344.0,20353.794921875,20340.0,20348.5390625
42,20344.0,20353.8359375,20340.0,20348.58984375
43,20360.0,20353.8671875,20314.0,20348.6328125
44,20328.0,20353.900390625,20356.0,20348.673828125
45,20336.0,20353.921875,20372.0,20348.70703125
46,20344.0,20353.943359375,20340.0,20348.73828125
47,20336.0,20353.947265625,20340.0,20348.755859375
48,20368.0,20353.955078125,20348.0,20348.76953125
49,20352.0,20353.97265625,20356.0,20348.796875
50,20336.0,20353.984375,20356.0,20348.8203125
51,20352.0,20353.990234375,20348.0,20348.837890625
52,20336.0,20353.998046875,20324.0,20348.859375
53,20344.0,20354.001953125,20314.0,20348.87890625
54,20344.0,20354.005859375,20332.0,20348.8984375
55,20328.0,20354.001953125,20356.0,20348.91015625
56,20352.0,20353.99609375,20348.0,20348.91796875
57,20352.0,20353.986328125,20332.0,20348.921875
58,20344.0,20353.982421875,20324.0,20348.9375
59,20352.0,20353.974609375,20340.0,20348.9453125
60,20344.0,20353.96875,20340.0,20348.95703125
61,20344.0,20353.9609375,20340.0,20348.966796875
62,20336.0,20353.9609375,20340.0,20348.98828125
63,20352.0,20353.96875,20332.0,20349.01171875
64,20344.0,20353.984375,20324.0,20349.04296875
65,20360.0,20354.0,20356.0,20349.076171875
66,20336.0,20354.015625,20340.0,20349.109375
67,20336.0,20354.044921875,20356.0,20349.16015625
68,20360.0,20354.068359375,20348.0,20349.201171875
69,20360.0,20354.1015625,20340.0,20349.251953125
70,20352.0,20354.125,20340.0,20349.294921875
71,20360.0,20354.171875,20324.0,20349.35546875
72,20376.0,20354.21484375,20332.0,20349.4140625
73,20336.0,20354.248046875,20348.0,20349.46484375
74,20344.0,20354.2734375,20314.0,20349.5078125
75,20336.0,20354.306640625,20348.0,20349.556640625
76,20328.0,20354.3359375,20348.0,20349.6015625
77,20352.0,20354.37890625,20340.0,20349.66015625
78,20344.0,20354.41796875,20340.0,20349.70703125
79,20344.0,20354.46484375,20332.0,20349.765625
80,20328.0,20354.515625,20332.0,20349.826171875
81,20344.0,20354.5546875,20340.0,20349.875
82,20376.0,20354.5859375,20364.0,20349.91796875
83,20352.0,20354.615234375,20340.0,20349.95703125
84,20336.0,20354.640625,20348.0,20349.994140625
85,20360.0,20354.66796875,20340.0,20350.03125
86,20352.0,20354.69140625,20348.0,20350.06640625
87,20344.0,20354.71875,20348.0,20350.1015625
88,20344.0,20354.74609375,20356.0,20350.13671875
89,20336.0,20354.77734375,20372.0,20350.17578125
90,20360.0,20354.80859375,20348.0,20350.21484375
91,20344.0,20354.845703125,20356.0,20350.255859375
92,20328.0,20354.87890625,20348.0,20350.294921875
93,20344.0,20354.9140625,20364.0,20350.3359375
94,20320.0,20354.95703125,20356.0,20350.384765625
95,20336.0,20354.998046875,20364.0,20350.4296875
96,20328.0,20355.048828125,20348.0,20350.4921875
97,20320.0,20355.09375,20340.0,20350.55078125
98,20336.0,20355.13671875,20348.0,20350.603515625
99,20328.0,20355.171875,20340.0,20350.65234375
100,20336.0,20355.201171875,20348.0,20350.69140625
101,20320.0,20355.23046875,20348.0,20350.732421875
102,20384.0,20355.255859375,20348.0,20350.763671875
103,20360.0,20355.27734375,20340.0,20350.791015625
104,20336.0,20355.294921875,20348.0,20350.81640625
105,20360.0,20355.31640625,20340.0,20350.845703125
106,20352.0,20355.33203125,20356.0,20350.86328125
107,20344.0,20355.34765625,20324.0,20350.8828125
108,20344.0,20355.361328125,20332.0,20350.8984375
109,20376.0,20355.375,20348.0,20350.9140625
